StratIndex,Probability
134,0.53
135,0.53
136,0.54
137,0.56
138,0.57
139,0.57
140,0.68
141,0.69
142,0.64
143,0.64
144,0.67
145,0.60
146,0.57
147,0.57
148,1.00
149,1.00
150,1.00
151,1.00
152,0.67
153,0.60
154,0.57
155,0.57
156,1.00
157,1.00
158,1.00
159,1.00
164,1.00
228,1.00
386,0.51
387,0.52
390,0.55
391,0.55
392,0.67
393,0.67
394,0.63
395,0.64
396,0.75
397,0.67
398,0.67
399,0.67
400,1.00
401,1.00
402,1.00
403,1.00
404,1.00
405,1.00
406,1.00
407,1.00
408,1.00
409,1.00
410,1.00
411,1.00
412,1.00
413,1.00
414,1.00
415,1.00
448,0.60
449,0.67
450,1.00
451,1.00
524,0.54
525,0.50
526,0.53
527,0.53
528,0.67
529,0.64
530,0.55
531,0.55
532,0.75
533,0.75
536,0.67
537,0.64
538,0.55
539,0.55
540,0.75
541,0.75
581,0.63
582,0.63
583,0.63
592,0.60
600,0.60
646,0.54
647,0.53
648,0.58
649,0.60
650,0.59
651,0.59
652,0.75
653,0.73
654,0.67
655,0.67
656,0.75
657,0.67
658,0.60
659,0.60
660,1.00
661,1.00
662,1.00
663,1.00
664,0.75
665,0.67
666,0.60
667,0.60
668,1.00
669,1.00
670,1.00
671,1.00
708,1.00
776,0.51
778,0.51
779,0.50
780,0.62
781,0.56
782,0.59
783,0.59
784,0.81
785,0.60
786,0.67
787,0.67
788,0.78
789,0.67
792,0.81
793,0.60
794,0.67
795,0.67
796,0.78
797,0.67
833,1.00
834,1.00
835,1.00
836,0.56
837,1.00
838,1.00
839,1.00
840,1.00
841,1.00
842,1.00
843,1.00
844,1.00
845,1.00
846,1.00
847,1.00
898,0.52
899,0.52
902,0.60
903,0.60
904,0.64
905,0.64
906,0.61
907,0.61
908,0.80
909,0.75
910,0.75
911,0.75
912,1.00
913,1.00
914,1.00
915,1.00
916,1.00
917,1.00
918,1.00
919,1.00
920,1.00
921,1.00
922,1.00
923,1.00
924,1.00
925,1.00
926,1.00
927,1.00
1544,1.00
1548,1.00
1552,1.00
1556,1.00
1560,1.00
1564,1.00
1800,1.00
1804,1.00
1808,1.00
1812,1.00
1816,1.00
1820,1.00
2182,0.53
2183,0.53
2184,0.53
2185,0.55
2186,0.57
2187,0.57
2188,0.68
2189,0.69
2190,0.64
2191,0.64
2192,0.74
2193,0.75
2194,0.80
2195,0.80
2196,1.00
2197,1.00
2198,1.00
2199,1.00
2200,0.74
2201,0.75
2202,0.80
2203,0.80
2204,1.00
2205,1.00
2206,1.00
2207,1.00
2212,1.00
2276,1.00
2434,0.51
2435,0.52
2438,0.55
2439,0.55
2440,0.67
2441,0.67
2442,0.63
2443,0.64
2444,0.75
2445,0.67
2446,0.67
2447,0.67
2448,1.00
2449,1.00
2450,1.00
2451,1.00
2452,1.00
2453,1.00
2454,1.00
2455,1.00
2456,1.00
2457,1.00
2458,1.00
2459,1.00
2460,1.00
2461,1.00
2462,1.00
2463,1.00
2496,0.60
2497,0.67
2498,1.00
2499,1.00
2572,0.53
2574,0.52
2575,0.52
2576,0.69
2577,0.72
2578,0.65
2579,0.65
2580,0.75
2581,0.75
2584,0.69
2585,0.72
2586,0.65
2587,0.65
2588,0.75
2589,0.75
2629,0.63
2630,0.63
2631,0.63
2640,0.60
2648,0.60
2694,0.54
2695,0.53
2696,0.58
2697,0.60
2698,0.58
2699,0.58
2700,0.75
2701,0.73
2702,0.67
2703,0.67
2704,0.90
2705,1.00
2706,1.00
2707,1.00
2708,1.00
2709,1.00
2710,1.00
2711,1.00
2712,0.90
2713,1.00
2714,1.00
2715,1.00
2716,1.00
2717,1.00
2718,1.00
2719,1.00
2756,1.00
2824,0.51
2826,0.51
2827,0.50
2828,0.62
2829,0.56
2830,0.59
2831,0.59
